Train,Test,U,T,Q,Q_t
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224 POI_154 POI_224 POI_154 POI_157 POI_84 POI_223 POI_224 POI_84 POI_223 POI_84 POI_223 POI_228 POI_223 POI_224 POI_223 POI_84 POI_19 POI_223 POI_224 POI_223 POI_84 POI_223,POI_131,105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666 18.033333333333335 -18.0 18.033333333333335 7.9 0.4666666666666667 -18.75 -7.566666666666666 26.366666666666667 -18.75 18.783333333333335 -18.75 21.75 -21.716666666666665 -7.566666666666666 7.6 18.783333333333335 6.433333333333334 -25.166666666666668 -7.566666666666666 7.6 18.783333333333335 -18.75,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4 -73.5 -25.783333333333335 -73.5 0.11666666666666667 0.4666666666666667 -89.41666666666667 -82.4 -65.16666666666667 -89.41666666666667 -56.05 -89.41666666666667 -53.083333333333336 -21.783333333333335 -82.4 -83.93333333333334 -56.05 -64.23333333333333 -25.166666666666668 -82.4 -83.93333333333334 -56.05 -89.41666666666667,-90.8
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224 POI_154 POI_224 POI_154 POI_157 POI_84 POI_223 POI_224 POI_84 POI_223 POI_84 POI_223 POI_228 POI_223 POI_224 POI_223 POI_84 POI_19 POI_223 POI_224 POI_223 POI_84 POI_223 POI_131,POI_84,105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666 18.033333333333335 -18.0 18.033333333333335 7.9 0.4666666666666667 -18.75 -7.566666666666666 26.366666666666667 -18.75 18.783333333333335 -18.75 21.75 -21.716666666666665 -7.566666666666666 7.6 18.783333333333335 6.433333333333334 -25.166666666666668 -7.566666666666666 7.6 18.783333333333335 -18.75 -15.966666666666667,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4 -73.5 -25.783333333333335 -73.5 0.11666666666666667 0.4666666666666667 -89.41666666666667 -82.4 -65.16666666666667 -89.41666666666667 -56.05 -89.41666666666667 -53.083333333333336 -21.783333333333335 -82.4 -83.93333333333334 -56.05 -64.23333333333333 -25.166666666666668 -82.4 -83.93333333333334 -56.05 -89.41666666666667 -90.8,-35.81666666666667
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224 POI_154 POI_224 POI_154 POI_157 POI_84 POI_223 POI_224 POI_84 POI_223 POI_84 POI_223 POI_228 POI_223 POI_224 POI_223 POI_84 POI_19 POI_223 POI_224 POI_223 POI_84 POI_223 POI_131 POI_84,POI_223,105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666 18.033333333333335 -18.0 18.033333333333335 7.9 0.4666666666666667 -18.75 -7.566666666666666 26.366666666666667 -18.75 18.783333333333335 -18.75 21.75 -21.716666666666665 -7.566666666666666 7.6 18.783333333333335 6.433333333333334 -25.166666666666668 -7.566666666666666 7.6 18.783333333333335 -18.75 -15.966666666666667 34.766666666666666,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4 -73.5 -25.783333333333335 -73.5 0.11666666666666667 0.4666666666666667 -89.41666666666667 -82.4 -65.16666666666667 -89.41666666666667 -56.05 -89.41666666666667 -53.083333333333336 -21.783333333333335 -82.4 -83.93333333333334 -56.05 -64.23333333333333 -25.166666666666668 -82.4 -83.93333333333334 -56.05 -89.41666666666667 -90.8 -35.81666666666667,-89.41666666666667
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224 POI_154 POI_224 POI_154 POI_157 POI_84 POI_223 POI_224 POI_84 POI_223 POI_84 POI_223 POI_228 POI_223 POI_224 POI_223 POI_84 POI_19 POI_223 POI_224 POI_223 POI_84 POI_223 POI_131 POI_84 POI_223,POI_224,105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666 18.033333333333335 -18.0 18.033333333333335 7.9 0.4666666666666667 -18.75 -7.566666666666666 26.366666666666667 -18.75 18.783333333333335 -18.75 21.75 -21.716666666666665 -7.566666666666666 7.6 18.783333333333335 6.433333333333334 -25.166666666666668 -7.566666666666666 7.6 18.783333333333335 -18.75 -15.966666666666667 34.766666666666666 -18.75,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4 -73.5 -25.783333333333335 -73.5 0.11666666666666667 0.4666666666666667 -89.41666666666667 -82.4 -65.16666666666667 -89.41666666666667 -56.05 -89.41666666666667 -53.083333333333336 -21.783333333333335 -82.4 -83.93333333333334 -56.05 -64.23333333333333 -25.166666666666668 -82.4 -83.93333333333334 -56.05 -89.41666666666667 -90.8 -35.81666666666667 -89.41666666666667,-82.4
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224 POI_154 POI_224 POI_154 POI_157 POI_84 POI_223 POI_224 POI_84 POI_223 POI_84 POI_223 POI_228 POI_223 POI_224 POI_223 POI_84 POI_19 POI_223 POI_224 POI_223 POI_84 POI_223 POI_131 POI_84 POI_223 POI_224,POI_223,105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666 18.033333333333335 -18.0 18.033333333333335 7.9 0.4666666666666667 -18.75 -7.566666666666666 26.366666666666667 -18.75 18.783333333333335 -18.75 21.75 -21.716666666666665 -7.566666666666666 7.6 18.783333333333335 6.433333333333334 -25.166666666666668 -7.566666666666666 7.6 18.783333333333335 -18.75 -15.966666666666667 34.766666666666666 -18.75 -7.566666666666666,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4 -73.5 -25.783333333333335 -73.5 0.11666666666666667 0.4666666666666667 -89.41666666666667 -82.4 -65.16666666666667 -89.41666666666667 -56.05 -89.41666666666667 -53.083333333333336 -21.783333333333335 -82.4 -83.93333333333334 -56.05 -64.23333333333333 -25.166666666666668 -82.4 -83.93333333333334 -56.05 -89.41666666666667 -90.8 -35.81666666666667 -89.41666666666667 -82.4,-83.93333333333334
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224 POI_154 POI_224 POI_154 POI_157 POI_84 POI_223 POI_224 POI_84 POI_223 POI_84 POI_223 POI_228 POI_223 POI_224 POI_223 POI_84 POI_19 POI_223 POI_224 POI_223 POI_84 POI_223 POI_131 POI_84 POI_223 POI_224 POI_223,POI_224,105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666 18.033333333333335 -18.0 18.033333333333335 7.9 0.4666666666666667 -18.75 -7.566666666666666 26.366666666666667 -18.75 18.783333333333335 -18.75 21.75 -21.716666666666665 -7.566666666666666 7.6 18.783333333333335 6.433333333333334 -25.166666666666668 -7.566666666666666 7.6 18.783333333333335 -18.75 -15.966666666666667 34.766666666666666 -18.75 -7.566666666666666 7.6,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4 -73.5 -25.783333333333335 -73.5 0.11666666666666667 0.4666666666666667 -89.41666666666667 -82.4 -65.16666666666667 -89.41666666666667 -56.05 -89.41666666666667 -53.083333333333336 -21.783333333333335 -82.4 -83.93333333333334 -56.05 -64.23333333333333 -25.166666666666668 -82.4 -83.93333333333334 -56.05 -89.41666666666667 -90.8 -35.81666666666667 -89.41666666666667 -82.4 -83.93333333333334,-82.4
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224 POI_154 POI_224 POI_154 POI_157 POI_84 POI_223 POI_224 POI_84 POI_223 POI_84 POI_223 POI_228 POI_223 POI_224 POI_223 POI_84 POI_19 POI_223 POI_224 POI_223 POI_84 POI_223 POI_131 POI_84 POI_223 POI_224 POI_223 POI_224,POI_229,105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666 18.033333333333335 -18.0 18.033333333333335 7.9 0.4666666666666667 -18.75 -7.566666666666666 26.366666666666667 -18.75 18.783333333333335 -18.75 21.75 -21.716666666666665 -7.566666666666666 7.6 18.783333333333335 6.433333333333334 -25.166666666666668 -7.566666666666666 7.6 18.783333333333335 -18.75 -15.966666666666667 34.766666666666666 -18.75 -7.566666666666666 7.6 -7.566666666666666,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4 -73.5 -25.783333333333335 -73.5 0.11666666666666667 0.4666666666666667 -89.41666666666667 -82.4 -65.16666666666667 -89.41666666666667 -56.05 -89.41666666666667 -53.083333333333336 -21.783333333333335 -82.4 -83.93333333333334 -56.05 -64.23333333333333 -25.166666666666668 -82.4 -83.93333333333334 -56.05 -89.41666666666667 -90.8 -35.81666666666667 -89.41666666666667 -82.4 -83.93333333333334 -82.4,-90.78333333333333
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224 POI_154 POI_224 POI_154 POI_157 POI_84 POI_223 POI_224 POI_84 POI_223 POI_84 POI_223 POI_228 POI_223 POI_224 POI_223 POI_84 POI_19 POI_223 POI_224 POI_223 POI_84 POI_223 POI_131 POI_84 POI_223 POI_224 POI_223 POI_224 POI_229,POI_224,105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666 18.033333333333335 -18.0 18.033333333333335 7.9 0.4666666666666667 -18.75 -7.566666666666666 26.366666666666667 -18.75 18.783333333333335 -18.75 21.75 -21.716666666666665 -7.566666666666666 7.6 18.783333333333335 6.433333333333334 -25.166666666666668 -7.566666666666666 7.6 18.783333333333335 -18.75 -15.966666666666667 34.766666666666666 -18.75 -7.566666666666666 7.6 -7.566666666666666 0.75,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4 -73.5 -25.783333333333335 -73.5 0.11666666666666667 0.4666666666666667 -89.41666666666667 -82.4 -65.16666666666667 -89.41666666666667 -56.05 -89.41666666666667 -53.083333333333336 -21.783333333333335 -82.4 -83.93333333333334 -56.05 -64.23333333333333 -25.166666666666668 -82.4 -83.93333333333334 -56.05 -89.41666666666667 -90.8 -35.81666666666667 -89.41666666666667 -82.4 -83.93333333333334 -82.4 -90.78333333333333,-68.55
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224 POI_154 POI_224 POI_154 POI_157 POI_84 POI_223 POI_224 POI_84 POI_223 POI_84 POI_223 POI_228 POI_223 POI_224 POI_223 POI_84 POI_19 POI_223 POI_224 POI_223 POI_84 POI_223 POI_131 POI_84 POI_223 POI_224 POI_223 POI_224 POI_229 POI_224,POI_223,105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666 18.033333333333335 -18.0 18.033333333333335 7.9 0.4666666666666667 -18.75 -7.566666666666666 26.366666666666667 -18.75 18.783333333333335 -18.75 21.75 -21.716666666666665 -7.566666666666666 7.6 18.783333333333335 6.433333333333334 -25.166666666666668 -7.566666666666666 7.6 18.783333333333335 -18.75 -15.966666666666667 34.766666666666666 -18.75 -7.566666666666666 7.6 -7.566666666666666 0.75 -0.7166666666666667,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4 -73.5 -25.783333333333335 -73.5 0.11666666666666667 0.4666666666666667 -89.41666666666667 -82.4 -65.16666666666667 -89.41666666666667 -56.05 -89.41666666666667 -53.083333333333336 -21.783333333333335 -82.4 -83.93333333333334 -56.05 -64.23333333333333 -25.166666666666668 -82.4 -83.93333333333334 -56.05 -89.41666666666667 -90.8 -35.81666666666667 -89.41666666666667 -82.4 -83.93333333333334 -82.4 -90.78333333333333 -68.55,-83.93333333333334
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224 POI_154 POI_224 POI_154 POI_157 POI_84 POI_223 POI_224 POI_84 POI_223 POI_84 POI_223 POI_228 POI_223 POI_224 POI_223 POI_84 POI_19 POI_223 POI_224 POI_223 POI_84 POI_223 POI_131 POI_84 POI_223 POI_224 POI_223 POI_224 POI_229 POI_224 POI_223,POI_224,105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666 18.033333333333335 -18.0 18.033333333333335 7.9 0.4666666666666667 -18.75 -7.566666666666666 26.366666666666667 -18.75 18.783333333333335 -18.75 21.75 -21.716666666666665 -7.566666666666666 7.6 18.783333333333335 6.433333333333334 -25.166666666666668 -7.566666666666666 7.6 18.783333333333335 -18.75 -15.966666666666667 34.766666666666666 -18.75 -7.566666666666666 7.6 -7.566666666666666 0.75 -0.7166666666666667 7.6,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4 -73.5 -25.783333333333335 -73.5 0.11666666666666667 0.4666666666666667 -89.41666666666667 -82.4 -65.16666666666667 -89.41666666666667 -56.05 -89.41666666666667 -53.083333333333336 -21.783333333333335 -82.4 -83.93333333333334 -56.05 -64.23333333333333 -25.166666666666668 -82.4 -83.93333333333334 -56.05 -89.41666666666667 -90.8 -35.81666666666667 -89.41666666666667 -82.4 -83.93333333333334 -82.4 -90.78333333333333 -68.55 -83.93333333333334,-82.4
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224 POI_154 POI_224 POI_154 POI_157 POI_84 POI_223 POI_224 POI_84 POI_223 POI_84 POI_223 POI_228 POI_223 POI_224 POI_223 POI_84 POI_19 POI_223 POI_224 POI_223 POI_84 POI_223 POI_131 POI_84 POI_223 POI_224 POI_223 POI_224 POI_229 POI_224 POI_223 POI_224,POI_223,105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666 18.033333333333335 -18.0 18.033333333333335 7.9 0.4666666666666667 -18.75 -7.566666666666666 26.366666666666667 -18.75 18.783333333333335 -18.75 21.75 -21.716666666666665 -7.566666666666666 7.6 18.783333333333335 6.433333333333334 -25.166666666666668 -7.566666666666666 7.6 18.783333333333335 -18.75 -15.966666666666667 34.766666666666666 -18.75 -7.566666666666666 7.6 -7.566666666666666 0.75 -0.7166666666666667 7.6 -7.566666666666666,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4 -73.5 -25.783333333333335 -73.5 0.11666666666666667 0.4666666666666667 -89.41666666666667 -82.4 -65.16666666666667 -89.41666666666667 -56.05 -89.41666666666667 -53.083333333333336 -21.783333333333335 -82.4 -83.93333333333334 -56.05 -64.23333333333333 -25.166666666666668 -82.4 -83.93333333333334 -56.05 -89.41666666666667 -90.8 -35.81666666666667 -89.41666666666667 -82.4 -83.93333333333334 -82.4 -90.78333333333333 -68.55 -83.93333333333334 -82.4,-83.93333333333334
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224 POI_154 POI_224 POI_154 POI_157 POI_84 POI_223 POI_224 POI_84 POI_223 POI_84 POI_223 POI_228 POI_223 POI_224 POI_223 POI_84 POI_19 POI_223 POI_224 POI_223 POI_84 POI_223 POI_131 POI_84 POI_223 POI_224 POI_223 POI_224 POI_229 POI_224 POI_223 POI_224 POI_223,POI_224,105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666 18.033333333333335 -18.0 18.033333333333335 7.9 0.4666666666666667 -18.75 -7.566666666666666 26.366666666666667 -18.75 18.783333333333335 -18.75 21.75 -21.716666666666665 -7.566666666666666 7.6 18.783333333333335 6.433333333333334 -25.166666666666668 -7.566666666666666 7.6 18.783333333333335 -18.75 -15.966666666666667 34.766666666666666 -18.75 -7.566666666666666 7.6 -7.566666666666666 0.75 -0.7166666666666667 7.6 -7.566666666666666 7.6,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4 -73.5 -25.783333333333335 -73.5 0.11666666666666667 0.4666666666666667 -89.41666666666667 -82.4 -65.16666666666667 -89.41666666666667 -56.05 -89.41666666666667 -53.083333333333336 -21.783333333333335 -82.4 -83.93333333333334 -56.05 -64.23333333333333 -25.166666666666668 -82.4 -83.93333333333334 -56.05 -89.41666666666667 -90.8 -35.81666666666667 -89.41666666666667 -82.4 -83.93333333333334 -82.4 -90.78333333333333 -68.55 -83.93333333333334 -82.4 -83.93333333333334,-82.4
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224 POI_154 POI_224 POI_154 POI_157 POI_84 POI_223 POI_224 POI_84 POI_223 POI_84 POI_223 POI_228 POI_223 POI_224 POI_223 POI_84 POI_19 POI_223 POI_224 POI_223 POI_84 POI_223 POI_131 POI_84 POI_223 POI_224 POI_223 POI_224 POI_229 POI_224 POI_223 POI_224 POI_223 POI_224,POI_84,105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666 18.033333333333335 -18.0 18.033333333333335 7.9 0.4666666666666667 -18.75 -7.566666666666666 26.366666666666667 -18.75 18.783333333333335 -18.75 21.75 -21.716666666666665 -7.566666666666666 7.6 18.783333333333335 6.433333333333334 -25.166666666666668 -7.566666666666666 7.6 18.783333333333335 -18.75 -15.966666666666667 34.766666666666666 -18.75 -7.566666666666666 7.6 -7.566666666666666 0.75 -0.7166666666666667 7.6 -7.566666666666666 7.6 -7.566666666666666,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4 -73.5 -25.783333333333335 -73.5 0.11666666666666667 0.4666666666666667 -89.41666666666667 -82.4 -65.16666666666667 -89.41666666666667 -56.05 -89.41666666666667 -53.083333333333336 -21.783333333333335 -82.4 -83.93333333333334 -56.05 -64.23333333333333 -25.166666666666668 -82.4 -83.93333333333334 -56.05 -89.41666666666667 -90.8 -35.81666666666667 -89.41666666666667 -82.4 -83.93333333333334 -82.4 -90.78333333333333 -68.55 -83.93333333333334 -82.4 -83.93333333333334 -82.4,-65.16666666666667
POI_131 POI_224 POI_229 POI_223 POI_224 POI_223 POI_154 POI_223 POI_224 POI_154 POI_224 POI_154 POI_157 POI_84 POI_223 POI_224 POI_84 POI_223 POI_84 POI_223 POI_228 POI_223 POI_224 POI_223 POI_84 POI_19 POI_223 POI_224 POI_223 POI_84 POI_223 POI_131 POI_84 POI_223 POI_224 POI_223 POI_224 POI_229 POI_224 POI_223 POI_224 POI_223 POI_224 POI_84,POI_190,105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105 105,1 8.416666666666666 0.75 6.866666666666666 -7.566666666666666 7.6 10.45 -10.416666666666666 -7.566666666666666 18.033333333333335 -18.0 18.033333333333335 7.9 0.4666666666666667 -18.75 -7.566666666666666 26.366666666666667 -18.75 18.783333333333335 -18.75 21.75 -21.716666666666665 -7.566666666666666 7.6 18.783333333333335 6.433333333333334 -25.166666666666668 -7.566666666666666 7.6 18.783333333333335 -18.75 -15.966666666666667 34.766666666666666 -18.75 -7.566666666666666 7.6 -7.566666666666666 0.75 -0.7166666666666667 7.6 -7.566666666666666 7.6 -7.566666666666666 26.366666666666667,1 -62.166666666666664 -90.78333333333333 -60.96666666666667 -82.4 -83.93333333333334 -64.38333333333334 -18.2 -82.4 -73.5 -25.783333333333335 -73.5 0.11666666666666667 0.4666666666666667 -89.41666666666667 -82.4 -65.16666666666667 -89.41666666666667 -56.05 -89.41666666666667 -53.083333333333336 -21.783333333333335 -82.4 -83.93333333333334 -56.05 -64.23333333333333 -25.166666666666668 -82.4 -83.93333333333334 -56.05 -89.41666666666667 -90.8 -35.81666666666667 -89.41666666666667 -82.4 -83.93333333333334 -82.4 -90.78333333333333 -68.55 -83.93333333333334 -82.4 -83.93333333333334 -82.4 -65.16666666666667,4.466666666666667
POI_230,POI_38,105,1,1,21.5
POI_230 POI_38,POI_235,105 105,1 37.21666666666667,1 21.5,-19.366666666666667
POI_230 POI_38 POI_235,POI_236,105 105 105,1 37.21666666666667 53.1,1 21.5 -19.366666666666667,-10.416666666666666
POI_230 POI_38 POI_235 POI_236,POI_235,105 105 105 105,1 37.21666666666667 53.1 3.566666666666667,1 21.5 -19.366666666666667 -10.416666666666666,-3.533333333333333
POI_230 POI_38 POI_235 POI_236 POI_235,POI_38,105 105 105 105 105,1 37.21666666666667 53.1 3.566666666666667 -3.533333333333333,1 21.5 -19.366666666666667 -10.416666666666666 -3.533333333333333,-67.05
POI_230 POI_38 POI_235 POI_236 POI_235 POI_38,POI_35,105 105 105 105 105 105,1 37.21666666666667 53.1 3.566666666666667 -3.533333333333333 -53.06666666666667,1 21.5 -19.366666666666667 -10.416666666666666 -3.533333333333333 -67.05,5.7
POI_230 POI_38 POI_235 POI_236 POI_235 POI_38 POI_35,POI_190,105 105 105 105 105 105 105,1 37.21666666666667 53.1 3.566666666666667 -3.533333333333333 -53.06666666666667 78.16666666666667,1 21.5 -19.366666666666667 -10.416666666666666 -3.533333333333333 -67.05 5.7,0.9666666666666667
POI_14,POI_188,107,1,1,46.25
POI_2,POI_235,107,1,1,-102.21666666666667
POI_2 POI_235,POI_190,107 107,1 0.8833333333333333,1 -102.21666666666667,91.21666666666667
POI_2 POI_235 POI_190,POI_35,107 107 107,1 0.8833333333333333 93.15,1 -102.21666666666667 91.21666666666667,6.9
POI_2 POI_235 POI_190 POI_35,POI_90,107 107 107 107,1 0.8833333333333333 93.15 6.9,1 -102.21666666666667 91.21666666666667 6.9,1.2666666666666666
POI_2 POI_235 POI_190 POI_35 POI_90,POI_2,107 107 107 107 107,1 0.8833333333333333 93.15 6.9 1.2666666666666666,1 -102.21666666666667 91.21666666666667 6.9 1.2666666666666666,-104.36666666666666
POI_2 POI_235 POI_190 POI_35 POI_90 POI_2,POI_90,107 107 107 107 107 107,1 0.8833333333333333 93.15 6.9 1.2666666666666666 -102.11666666666666,1 -102.21666666666667 91.21666666666667 6.9 1.2666666666666666 -104.36666666666666,-0.95
POI_62,POI_51,107,1,1,20.383333333333333
POI_213,POI_164,107,1,1,1.5166666666666666
POI_213 POI_164,POI_66,107 107,1 2.9166666666666665,1 1.5166666666666666,1.2166666666666666
POI_213 POI_164 POI_66,POI_242,107 107 107,1 2.9166666666666665 3.85,1 1.5166666666666666 1.2166666666666666,23.416666666666668
POI_213 POI_164 POI_66 POI_242,POI_90,107 107 107 107,1 2.9166666666666665 3.85 23.416666666666668,1 1.5166666666666666 1.2166666666666666 23.416666666666668,14.966666666666667
POI_23,POI_48,107,1,1,1.4833333333333334
POI_23 POI_48,POI_227,107 107,1 1.4833333333333334,1 1.4833333333333334,15.733333333333333
POI_23 POI_48 POI_227,POI_195,107 107 107,1 1.4833333333333334 15.733333333333333,1 1.4833333333333334 15.733333333333333,5.95
POI_23 POI_48 POI_227 POI_195,POI_114,107 107 107 107,1 1.4833333333333334 15.733333333333333 5.95,1 1.4833333333333334 15.733333333333333 5.95,2.4833333333333334
POI_23 POI_48 POI_227 POI_195 POI_114,POI_9,107 107 107 107 107,1 1.4833333333333334 15.733333333333333 5.95 2.9166666666666665,1 1.4833333333333334 15.733333333333333 5.95 2.4833333333333334,3.65
POI_208,POI_194,107,1,1,1.55
POI_208 POI_194,POI_34,107 107,1 6.366666666666666,1 1.55,-7.983333333333333
POI_208 POI_194 POI_34,POI_16,107 107 107,1 6.366666666666666 1.5666666666666667,1 1.55 -7.983333333333333,1.4166666666666667
POI_208 POI_194 POI_34 POI_16,POI_194,107 107 107 107,1 6.366666666666666 1.5666666666666667 6.716666666666667,1 1.55 -7.983333333333333 1.4166666666666667,-133.81666666666666
POI_208 POI_194 POI_34 POI_16 POI_194,POI_17,107 107 107 107 107,1 6.366666666666666 1.5666666666666667 6.716666666666667 -8.233333333333333,1 1.55 -7.983333333333333 1.4166666666666667 -133.81666666666666,2.6333333333333333
POI_208 POI_194 POI_34 POI_16 POI_194 POI_17,POI_16,107 107 107 107 107 107,1 6.366666666666666 1.5666666666666667 6.716666666666667 -8.233333333333333 12.183333333333334,1 1.55 -7.983333333333333 1.4166666666666667 -133.81666666666666 2.6333333333333333,-5.616666666666666
POI_96,POI_34,107,1,1,-1.3666666666666667
POI_96 POI_34,POI_96,107 107,1 6.266666666666667,1 -1.3666666666666667,-6.233333333333333
POI_38,POI_2,107,1,1,0.6333333333333333
POI_51,POI_38,107,1,1,16.483333333333334
POI_76,POI_148,109,1,1,-148.66666666666666
POI_76 POI_148,POI_76,109 109,1 112.78333333333333,1 -148.66666666666666,-112.75
POI_90,POI_130,109,1,1,89.96666666666667
POI_90 POI_130,POI_131,109 109,1 89.96666666666667,1 89.96666666666667,41.0
POI_189,POI_38,112,1,1,47.416666666666664
POI_89,POI_87,113,1,1,-36.35
POI_89 POI_87,POI_89,113 113,1 12.516666666666667,1 -36.35,-12.483333333333333
POI_89 POI_87 POI_89,POI_208,113 113 113,1 12.516666666666667 -12.483333333333333,1 -36.35 -12.483333333333333,242.81666666666666
POI_190,POI_37,115,1,1,72.88333333333334
POI_38,POI_181,117,1,1,3.3833333333333333
POI_99,POI_93,118,1,1,211.1
POI_130,POI_55,119,1,1,0.06666666666666667
POI_130 POI_55,POI_136,119 119,1 0.06666666666666667,1 0.06666666666666667,0.3333333333333333
