Q,A,U,T
POI_90 POI_35 POI_96 POI_194 POI_87,POI_159,213 213 213 213 213,1 11 46 1 2
POI_90 POI_35 POI_96 POI_194 POI_87 POI_159,POI_67,213 213 213 213 213 213,1 11 46 1 2 17
POI_90 POI_35 POI_96 POI_194 POI_87 POI_159 POI_67,POI_216,213 213 213 213 213 213 213,1 11 46 1 2 17 6
POI_90 POI_35 POI_96 POI_194 POI_87 POI_159 POI_67 POI_216,POI_100,213 213 213 213 213 213 213 213,1 11 46 1 2 17 6 13
POI_90 POI_35 POI_96 POI_194 POI_87 POI_159 POI_67 POI_216 POI_100,POI_61,213 213 213 213 213 213 213 213 213,1 11 46 1 2 17 6 13 15
POI_90 POI_35 POI_96 POI_194 POI_87 POI_159 POI_67 POI_216 POI_100 POI_61,POI_105,213 213 213 213 213 213 213 213 213 213,1 11 46 1 2 17 6 13 15 31
POI_90 POI_35 POI_96 POI_194 POI_87 POI_159 POI_67 POI_216 POI_100 POI_61 POI_105,POI_70,213 213 213 213 213 213 213 213 213 213 213,1 11 46 1 2 17 6 13 15 31 140
POI_90 POI_35 POI_96 POI_194 POI_87 POI_159 POI_67 POI_216 POI_100 POI_61 POI_105 POI_70,POI_95,213 213 213 213 213 213 213 213 213 213 213 213,1 11 46 1 2 17 6 13 15 31 140 27
POI_90 POI_35 POI_96 POI_194 POI_87 POI_159 POI_67 POI_216 POI_100 POI_61 POI_105 POI_70 POI_95,POI_98,213 213 213 213 213 213 213 213 213 213 213 213 213,1 11 46 1 2 17 6 13 15 31 140 27 5
POI_90 POI_35 POI_96 POI_194 POI_87 POI_159 POI_67 POI_216 POI_100 POI_61 POI_105 POI_70 POI_95 POI_98,POI_99,213 213 213 213 213 213 213 213 213 213 213 213 213 213,1 11 46 1 2 17 6 13 15 31 140 27 5 91
POI_201 POI_65,POI_203,213 213,1 16
POI_201 POI_65 POI_203,POI_150,213 213 213,1 16 29
POI_98 POI_190,POI_228,215 215,1 14
POI_161 POI_66,POI_188,215 215,1 267
POI_38 POI_65,POI_81,217 217,1 233
POI_193 POI_96,POI_87,220 220,1 2
POI_193 POI_96 POI_87,POI_188,220 220 220,1 2 6
POI_231 POI_5,POI_228,223 223,1 123
POI_98 POI_231,POI_230,223 223,1 1
POI_152 POI_90,POI_2,226 226,1 175
POI_152 POI_90 POI_2,POI_66,226 226 226,1 175 3
POI_152 POI_90 POI_2 POI_66,POI_188,226 226 226 226,1 175 3 3
POI_205 POI_173,POI_228,226 226,1 142
POI_90 POI_13,POI_89,227 227,1 6
POI_13 POI_89,POI_90,227 227,1 6
POI_62 POI_90,POI_14,227 227,1 16
POI_62 POI_90 POI_14,POI_89,227 227 227,1 16 7
POI_13 POI_160,POI_89,227 227,1 8
POI_89 POI_67,POI_136,227 227,1 15
POI_89 POI_67 POI_136,POI_90,227 227 227,1 15 6
POI_190 POI_38,POI_5,234 234,1 95
POI_190 POI_38 POI_5,POI_4,234 234 234,1 95 43
POI_190 POI_38 POI_5 POI_4,POI_150,234 234 234 234,1 95 43 6
POI_190 POI_38 POI_5 POI_4 POI_150,POI_230,234 234 234 234 234,1 95 43 6 234
POI_190 POI_38 POI_5 POI_4 POI_150 POI_230,POI_224,234 234 234 234 234 234,1 95 43 6 234 111
POI_189 POI_231,POI_228,238 238,1 70
POI_65 POI_228,POI_202,239 239,1 28
POI_2 POI_65,POI_235,240 240,1 1
POI_2 POI_65 POI_235,POI_190,240 240 240,1 1 90
POI_2 POI_65 POI_235 POI_190,POI_5,240 240 240 240,1 1 90 70
POI_130 POI_6,POI_188,240 240,1 126
POI_230 POI_99,POI_190,241 241,1 138
POI_230 POI_99 POI_190,POI_84,241 241 241,1 138 8
POI_230 POI_99 POI_190 POI_84,POI_187,241 241 241 241,1 138 8 13
POI_84 POI_190,POI_188,244 244,1 104
POI_84 POI_190 POI_188,POI_230,244 244 244,1 104 1
POI_84 POI_190 POI_188 POI_230,POI_235,244 244 244 244,1 104 1 10
POI_84 POI_190 POI_188 POI_230 POI_235,POI_38,244 244 244 244 244,1 104 1 10 207
POI_84 POI_190 POI_188 POI_230 POI_235 POI_38,POI_14,244 244 244 244 244 244,1 104 1 10 207 3
POI_84 POI_190 POI_188 POI_230 POI_235 POI_38 POI_14,POI_189,244 244 244 244 244 244 244,1 104 1 10 207 3 110
POI_84 POI_190 POI_188 POI_230 POI_235 POI_38 POI_14 POI_189,POI_131,244 244 244 244 244 244 244 244,1 104 1 10 207 3 110 4
POI_84 POI_190 POI_188 POI_230 POI_235 POI_38 POI_14 POI_189 POI_131,POI_228,244 244 244 244 244 244 244 244 244,1 104 1 10 207 3 110 4 9
POI_84 POI_190 POI_188 POI_230 POI_235 POI_38 POI_14 POI_189 POI_131 POI_228,POI_95,244 244 244 244 244 244 244 244 244 244,1 104 1 10 207 3 110 4 9 11
POI_84 POI_190 POI_188 POI_230 POI_235 POI_38 POI_14 POI_189 POI_131 POI_228 POI_95,POI_66,244 244 244 244 244 244 244 244 244 244 244,1 104 1 10 207 3 110 4 9 11 31
POI_65 POI_12,POI_165,244 244,1 2
POI_65 POI_12 POI_165,POI_47,244 244 244,1 2 0
POI_17 POI_87,POI_182,244 244,1 4
POI_17 POI_87 POI_182,POI_183,244 244 244,1 4 25
POI_17 POI_87 POI_182 POI_183,POI_4,244 244 244 244,1 4 25 4
POI_17 POI_87 POI_182 POI_183 POI_4,POI_125,244 244 244 244 244,1 4 25 4 35
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125,POI_213,244 244 244 244 244 244,1 4 25 4 35 15
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213,POI_202,244 244 244 244 244 244 244,1 4 25 4 35 15 130
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202,POI_65,244 244 244 244 244 244 244 244,1 4 25 4 35 15 130 8
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65,POI_2,244 244 244 244 244 244 244 244 244,1 4 25 4 35 15 130 8 4
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65 POI_2,POI_90,244 244 244 244 244 244 244 244 244 244,1 4 25 4 35 15 130 8 4 15
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65 POI_2 POI_90,POI_35,244 244 244 244 244 244 244 244 244 244 244,1 4 25 4 35 15 130 8 4 15 13
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65 POI_2 POI_90 POI_35,POI_188,244 244 244 244 244 244 244 244 244 244 244 244,1 4 25 4 35 15 130 8 4 15 13 2
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65 POI_2 POI_90 POI_35 POI_188,POI_230,244 244 244 244 244 244 244 244 244 244 244 244 244,1 4 25 4 35 15 130 8 4 15 13 2 9
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65 POI_2 POI_90 POI_35 POI_188 POI_230,POI_131,244 244 244 244 244 244 244 244 244 244 244 244 244 244,1 4 25 4 35 15 130 8 4 15 13 2 9 2
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65 POI_2 POI_90 POI_35 POI_188 POI_230 POI_131,POI_228,244 244 244 244 244 244 244 244 244 244 244 244 244 244 244,1 4 25 4 35 15 130 8 4 15 13 2 9 2 24
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65 POI_2 POI_90 POI_35 POI_188 POI_230 POI_131 POI_228,POI_84,244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244,1 4 25 4 35 15 130 8 4 15 13 2 9 2 24 41
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65 POI_2 POI_90 POI_35 POI_188 POI_230 POI_131 POI_228 POI_84,POI_57,244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244,1 4 25 4 35 15 130 8 4 15 13 2 9 2 24 41 16
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65 POI_2 POI_90 POI_35 POI_188 POI_230 POI_131 POI_228 POI_84 POI_57,POI_55,244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244,1 4 25 4 35 15 130 8 4 15 13 2 9 2 24 41 16 15
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65 POI_2 POI_90 POI_35 POI_188 POI_230 POI_131 POI_228 POI_84 POI_57 POI_55,POI_88,244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244,1 4 25 4 35 15 130 8 4 15 13 2 9 2 24 41 16 15 6
POI_17 POI_87 POI_182 POI_183 POI_4 POI_125 POI_213 POI_202 POI_65 POI_2 POI_90 POI_35 POI_188 POI_230 POI_131 POI_228 POI_84 POI_57 POI_55 POI_88,POI_130,244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244,1 4 25 4 35 15 130 8 4 15 13 2 9 2 24 41 16 15 6 1
POI_136 POI_89,POI_208,244 244,1 1
POI_136 POI_89 POI_208,POI_62,244 244 244,1 1 5
POI_136 POI_89 POI_208 POI_62,POI_150,244 244 244 244,1 1 5 55
POI_136 POI_89 POI_208 POI_62 POI_150,POI_93,244 244 244 244 244,1 1 5 55 86
POI_136 POI_89 POI_208 POI_62 POI_150 POI_93,POI_230,244 244 244 244 244 244,1 1 5 55 86 71
POI_136 POI_89 POI_208 POI_62 POI_150 POI_93 POI_230,POI_2,244 244 244 244 244 244 244,1 1 5 55 86 71 9
POI_236 POI_177,POI_235,246 246,1 7
POI_235 POI_68,POI_177,246 246,1 3
POI_235 POI_68 POI_177,POI_66,246 246 246,1 3 7
POI_189 POI_178,POI_90,247 247,1 92
POI_189 POI_178 POI_90,POI_229,247 247 247,1 92 148
POI_189 POI_178 POI_90 POI_229,POI_62,247 247 247 247,1 92 148 117
POI_201 POI_38,POI_235,247 247,1 138
POI_235 POI_12,POI_230,247 247,1 219
POI_235 POI_177,POI_89,249 249,1 47
POI_235 POI_177 POI_89,POI_17,249 249 249,1 47 9
POI_235 POI_177 POI_89 POI_17,POI_87,249 249 249 249,1 47 9 10
POI_235 POI_177 POI_89 POI_17 POI_87,POI_189,249 249 249 249 249,1 47 9 10 2
POI_235 POI_177 POI_89 POI_17 POI_87 POI_189,POI_98,249 249 249 249 249 249,1 47 9 10 2 28
POI_235 POI_177 POI_89 POI_17 POI_87 POI_189 POI_98,POI_65,249 249 249 249 249 249 249,1 47 9 10 2 28 6
POI_235 POI_177 POI_89 POI_17 POI_87 POI_189 POI_98 POI_65,POI_230,249 249 249 249 249 249 249 249,1 47 9 10 2 28 6 68
POI_235 POI_177 POI_89 POI_17 POI_87 POI_189 POI_98 POI_65 POI_230,POI_131,249 249 249 249 249 249 249 249 249,1 47 9 10 2 28 6 68 122
POI_235 POI_177 POI_89 POI_17 POI_87 POI_189 POI_98 POI_65 POI_230 POI_131,POI_202,249 249 249 249 249 249 249 249 249 249,1 47 9 10 2 28 6 68 122 58
POI_235 POI_177 POI_89 POI_17 POI_87 POI_189 POI_98 POI_65 POI_230 POI_131 POI_202,POI_51,249 249 249 249 249 249 249 249 249 249 249,1 47 9 10 2 28 6 68 122 58 13
POI_101 POI_117,POI_131,251 251,1 133
POI_101 POI_117 POI_131,POI_90,251 251 251,1 133 233
POI_101 POI_117 POI_131 POI_90,POI_178,251 251 251 251,1 133 233 9
POI_224 POI_223,POI_230,251 251,1 8
POI_29 POI_68,POI_160,254 254,1 280
POI_126 POI_130,POI_131,255 255,1 12
POI_61 POI_190,POI_120,257 257,1 6
POI_84 POI_131,POI_190,258 258,1 5
POI_84 POI_131 POI_190,POI_203,258 258 258,1 5 12
POI_84 POI_35,POI_188,259 259,1 134
POI_84 POI_35 POI_188,POI_90,259 259 259,1 134 2
POI_84 POI_35 POI_188 POI_90,POI_38,259 259 259 259,1 134 2 11
POI_84 POI_35 POI_188 POI_90 POI_38,POI_236,259 259 259 259 259,1 134 2 11 7
POI_84 POI_35 POI_188 POI_90 POI_38 POI_236,POI_66,259 259 259 259 259 259,1 134 2 11 7 31
POI_84 POI_35 POI_188 POI_90 POI_38 POI_236 POI_66,POI_189,259 259 259 259 259 259 259,1 134 2 11 7 31 88
POI_84 POI_35 POI_188 POI_90 POI_38 POI_236 POI_66 POI_189,POI_98,259 259 259 259 259 259 259 259,1 134 2 11 7 31 88 5
POI_84 POI_35 POI_188 POI_90 POI_38 POI_236 POI_66 POI_189 POI_98,POI_99,259 259 259 259 259 259 259 259 259,1 134 2 11 7 31 88 5 21
POI_84 POI_35 POI_188 POI_90 POI_38 POI_236 POI_66 POI_189 POI_98 POI_99,POI_55,259 259 259 259 259 259 259 259 259 259,1 134 2 11 7 31 88 5 21 17
POI_84 POI_35 POI_188 POI_90 POI_38 POI_236 POI_66 POI_189 POI_98 POI_99 POI_55,POI_231,259 259 259 259 259 259 259 259 259 259 259,1 134 2 11 7 31 88 5 21 17 48
POI_133 POI_70,POI_47,261 261,1 357
POI_131 POI_230,POI_90,269 269,1 97
POI_131 POI_230 POI_90,POI_94,269 269 269,1 97 8
POI_190 POI_230,POI_188,272 272,1 5
POI_190 POI_230 POI_188,POI_235,272 272 272,1 5 66
POI_190 POI_230 POI_188 POI_235,POI_228,272 272 272 272,1 5 66 94
POI_190 POI_230 POI_188 POI_235 POI_228,POI_216,272 272 272 272 272,1 5 66 94 62
POI_190 POI_230 POI_188 POI_235 POI_228 POI_216,POI_182,272 272 272 272 272 272,1 5 66 94 62 71
POI_38 POI_230,POI_108,275 275,1 17
POI_38 POI_230 POI_108,POI_92,275 275 275,1 17 85
POI_38 POI_230 POI_108 POI_92,POI_61,275 275 275 275,1 17 85 54
POI_65 POI_14,POI_136,276 276,1 44
POI_99 POI_97,POI_188,278 278,1 7
POI_99 POI_133,POI_189,278 278,1 5
POI_84 POI_224,POI_228,279 279,1 35
POI_47 POI_190,POI_203,280 280,1 89
POI_150 POI_152,POI_101,280 280,1 62
POI_97 POI_99,POI_177,280 280,1 15
POI_136 POI_189,POI_230,280 280,1 24
POI_38 POI_90,POI_236,281 281,1 8
POI_38 POI_90 POI_236,POI_2,281 281 281,1 8 2
POI_38 POI_90 POI_236 POI_2,POI_190,281 281 281 281,1 8 2 2
POI_38 POI_90 POI_236 POI_2 POI_190,POI_188,281 281 281 281 281,1 8 2 2 5
POI_38 POI_90 POI_236 POI_2 POI_190 POI_188,POI_189,281 281 281 281 281 281,1 8 2 2 5 0
POI_38 POI_90 POI_236 POI_2 POI_190 POI_188 POI_189,POI_231,281 281 281 281 281 281 281,1 8 2 2 5 0 1
POI_38 POI_90 POI_236 POI_2 POI_190 POI_188 POI_189 POI_231,POI_98,281 281 281 281 281 281 281 281,1 8 2 2 5 0 1 4
POI_38 POI_90 POI_236 POI_2 POI_190 POI_188 POI_189 POI_231 POI_98,POI_97,281 281 281 281 281 281 281 281 281,1 8 2 2 5 0 1 4 1
POI_38 POI_90 POI_236 POI_2 POI_190 POI_188 POI_189 POI_231 POI_98 POI_97,POI_106,281 281 281 281 281 281 281 281 281 281,1 8 2 2 5 0 1 4 1 3
POI_101 POI_109,POI_232,281 281,1 13
POI_85 POI_127,POI_131,282 282,1 8
POI_37 POI_187,POI_188,283 283,1 89
POI_37 POI_187 POI_188,POI_190,283 283 283,1 89 125
POI_97 POI_231,POI_189,284 284,1 6
POI_97 POI_231 POI_189,POI_98,284 284 284,1 6 13
POI_97 POI_231 POI_189 POI_98,POI_190,284 284 284 284,1 6 13 13
POI_97 POI_231 POI_189 POI_98 POI_190,POI_35,284 284 284 284 284,1 6 13 13 70
POI_190 POI_38,POI_35,287 287,1 471
POI_190 POI_38 POI_35,POI_188,287 287 287,1 471 69
POI_190 POI_38 POI_35 POI_188,POI_230,287 287 287 287,1 471 69 10
POI_38 POI_90,POI_35,287 287,1 298
POI_2 POI_90,POI_35,287 287,1 343
POI_150 POI_131,POI_133,288 288,1 28
POI_35 POI_104,POI_232,289 289,1 101
POI_51 POI_203,POI_6,290 290,1 350
POI_89 POI_230,POI_90,291 291,1 20
POI_220 POI_103,POI_222,291 291,1 107
POI_65 POI_202,POI_201,292 292,1 3
POI_65 POI_202 POI_201,POI_38,292 292 292,1 3 2
POI_65 POI_202 POI_201 POI_38,POI_90,292 292 292 292,1 3 2 100
POI_65 POI_202 POI_201 POI_38 POI_90,POI_188,292 292 292 292 292,1 3 2 100 74
POI_65 POI_202 POI_201 POI_38 POI_90 POI_188,POI_230,292 292 292 292 292 292,1 3 2 100 74 7
POI_65 POI_202 POI_201 POI_38 POI_90 POI_188 POI_230,POI_190,292 292 292 292 292 292 292,1 3 2 100 74 7 3
POI_84 POI_188,POI_90,294 294,1 54
POI_84 POI_188 POI_90,POI_14,294 294 294,1 54 5
POI_84 POI_188 POI_90 POI_14,POI_136,294 294 294 294,1 54 5 11
POI_84 POI_188 POI_90 POI_14 POI_136,POI_203,294 294 294 294 294,1 54 5 11 17
POI_84 POI_188 POI_90 POI_14 POI_136 POI_203,POI_38,294 294 294 294 294 294,1 54 5 11 17 62
POI_84 POI_188 POI_90 POI_14 POI_136 POI_203 POI_38,POI_189,294 294 294 294 294 294 294,1 54 5 11 17 62 9
POI_84 POI_188 POI_90 POI_14 POI_136 POI_203 POI_38 POI_189,POI_98,294 294 294 294 294 294 294 294,1 54 5 11 17 62 9 91
POI_84 POI_188 POI_90 POI_14 POI_136 POI_203 POI_38 POI_189 POI_98,POI_132,294 294 294 294 294 294 294 294 294,1 54 5 11 17 62 9 91 4
POI_84 POI_188 POI_90 POI_14 POI_136 POI_203 POI_38 POI_189 POI_98 POI_132,POI_230,294 294 294 294 294 294 294 294 294 294,1 54 5 11 17 62 9 91 4 151
POI_90 POI_235,POI_203,295 295,1 127
POI_90 POI_235 POI_203,POI_65,295 295 295,1 127 33
POI_66 POI_188,POI_98,300 300,1 33
POI_66 POI_188 POI_98,POI_189,300 300 300,1 33 25
POI_131 POI_189,POI_230,306 306,1 131
POI_130 POI_131,POI_235,312 312,1 38
POI_74 POI_90,POI_35,313 313,1 73
POI_74 POI_90 POI_35,POI_66,313 313 313,1 73 0
POI_61 POI_190,POI_187,316 316,1 1
POI_65 POI_131,POI_228,316 316,1 53
POI_98 POI_99,POI_131,317 317,1 9
POI_98 POI_99 POI_131,POI_84,317 317 317,1 9 6
POI_98 POI_99 POI_131 POI_84,POI_228,317 317 317 317,1 9 6 9
POI_104 POI_232,POI_118,317 317,1 17
POI_104 POI_232 POI_118,POI_117,317 317 317,1 17 28
POI_104 POI_232 POI_118 POI_117,POI_80,317 317 317 317,1 17 28 10
POI_104 POI_232 POI_118 POI_117 POI_80,POI_81,317 317 317 317 317,1 17 28 10 7
POI_104 POI_232 POI_118 POI_117 POI_80 POI_81,POI_79,317 317 317 317 317 317,1 17 28 10 7 2
POI_104 POI_232 POI_118 POI_117 POI_80 POI_81 POI_79,POI_95,317 317 317 317 317 317 317,1 17 28 10 7 2 0
POI_104 POI_232 POI_118 POI_117 POI_80 POI_81 POI_79 POI_95,POI_228,317 317 317 317 317 317 317 317,1 17 28 10 7 2 0 14
POI_131 POI_84,POI_228,317 317,1 12
POI_131 POI_84 POI_228,POI_229,317 317 317,1 12 7
POI_131 POI_84 POI_228 POI_229,POI_78,317 317 317 317,1 12 7 20
POI_131 POI_84 POI_228 POI_229 POI_78,POI_85,317 317 317 317 317,1 12 7 20 9
POI_131 POI_84 POI_228 POI_229 POI_78 POI_85,POI_150,317 317 317 317 317 317,1 12 7 20 9 7
POI_131 POI_84 POI_228 POI_229 POI_78 POI_85 POI_150,POI_94,317 317 317 317 317 317 317,1 12 7 20 9 7 21
POI_131 POI_84 POI_228 POI_229 POI_78 POI_85 POI_150 POI_94,POI_132,317 317 317 317 317 317 317 317,1 12 7 20 9 7 21 20
POI_189 POI_235,POI_38,317 317,1 234
POI_232 POI_104,POI_109,317 317,1 30
POI_232 POI_104 POI_109,POI_189,317 317 317,1 30 72
POI_232 POI_104 POI_109 POI_189,POI_136,317 317 317 317,1 30 72 169
POI_232 POI_104 POI_109 POI_189 POI_136,POI_89,317 317 317 317 317,1 30 72 169 100
POI_125 POI_4,POI_136,322 322,1 7
POI_84 POI_230,POI_57,323 323,1 8
POI_190 POI_235,POI_90,323 323,1 80
POI_190 POI_235 POI_90,POI_188,323 323 323,1 80 53
POI_190 POI_235 POI_90 POI_188,POI_38,323 323 323 323,1 80 53 15
POI_190 POI_235 POI_90 POI_188 POI_38,POI_14,323 323 323 323 323,1 80 53 15 29
POI_190 POI_235 POI_90 POI_188 POI_38 POI_14,POI_89,323 323 323 323 323 323,1 80 53 15 29 31
POI_190 POI_235 POI_90 POI_188 POI_38 POI_14 POI_89,POI_136,323 323 323 323 323 323 323,1 80 53 15 29 31 45
POI_189 POI_230,POI_231,325 325,1 0
POI_189 POI_230 POI_231,POI_228,325 325 325,1 0 0
POI_189 POI_230 POI_231 POI_228,POI_223,325 325 325 325,1 0 0 0
POI_189 POI_230 POI_231 POI_228 POI_223,POI_224,325 325 325 325 325,1 0 0 0 0
POI_189 POI_230 POI_231 POI_228 POI_223 POI_224,POI_131,325 325 325 325 325 325,1 0 0 0 0 0
POI_189 POI_230 POI_231 POI_228 POI_223 POI_224 POI_131,POI_188,325 325 325 325 325 325 325,1 0 0 0 0 0 100
POI_7 POI_91,POI_221,328 328,1 49
POI_7 POI_91 POI_221,POI_90,328 328 328,1 49 27
POI_235 POI_189,POI_99,335 335,1 4
POI_235 POI_189 POI_99,POI_230,335 335 335,1 4 6
POI_235 POI_189 POI_99 POI_230,POI_203,335 335 335 335,1 4 6 345
POI_235 POI_189 POI_99 POI_230 POI_203,POI_202,335 335 335 335 335,1 4 6 345 317
POI_235 POI_189 POI_99 POI_230 POI_203 POI_202,POI_163,335 335 335 335 335 335,1 4 6 345 317 197
POI_163 POI_205,POI_164,335 335,1 3
POI_163 POI_51,POI_203,340 340,1 132
POI_68 POI_188,POI_65,340 340,1 11
POI_90 POI_190,POI_84,347 347,1 11
POI_188 POI_19,POI_133,347 347,1 4
POI_35 POI_99,POI_231,348 348,1 17
POI_35 POI_99 POI_231,POI_62,348 348 348,1 17 0
POI_35 POI_99 POI_231 POI_62,POI_136,348 348 348 348,1 17 0 70
POI_90 POI_14,POI_189,350 350,1 11
POI_122 POI_120,POI_123,350 350,1 7
POI_137 POI_187,POI_128,350 350,1 55
POI_137 POI_187 POI_128,POI_55,350 350 350,1 55 172
POI_87 POI_74,POI_8,350 350,1 123
POI_35 POI_88,POI_129,350 350,1 24
POI_118 POI_105,POI_61,350 350,1 25
POI_101 POI_108,POI_103,350 350,1 2
POI_78 POI_128,POI_126,350 350,1 34
POI_131 POI_188,POI_230,351 351,1 27
POI_131 POI_188 POI_230,POI_132,351 351 351,1 27 15
POI_190 POI_202,POI_12,354 354,1 182
POI_90 POI_89,POI_2,355 355,1 41
POI_202 POI_133,POI_134,356 356,1 124
POI_202 POI_133 POI_134,POI_32,356 356 356,1 124 12
POI_201 POI_65,POI_202,364 364,1 72
POI_201 POI_65 POI_202,POI_13,364 364 364,1 72 0
POI_201 POI_65 POI_202 POI_13,POI_189,364 364 364 364,1 72 0 20
POI_201 POI_65 POI_202 POI_13 POI_189,POI_230,364 364 364 364 364,1 72 0 20 6
POI_201 POI_65 POI_202 POI_13 POI_189 POI_230,POI_131,364 364 364 364 364 364,1 72 0 20 6 27
POI_201 POI_65 POI_202 POI_13 POI_189 POI_230 POI_131,POI_57,364 364 364 364 364 364 364,1 72 0 20 6 27 13
POI_201 POI_65 POI_202 POI_13 POI_189 POI_230 POI_131 POI_57,POI_223,364 364 364 364 364 364 364 364,1 72 0 20 6 27 13 2
POI_201 POI_65 POI_202 POI_13 POI_189 POI_230 POI_131 POI_57 POI_223,POI_224,364 364 364 364 364 364 364 364 364,1 72 0 20 6 27 13 2 29
POI_201 POI_65 POI_202 POI_13 POI_189 POI_230 POI_131 POI_57 POI_223 POI_224,POI_228,364 364 364 364 364 364 364 364 364 364,1 72 0 20 6 27 13 2 29 40
POI_106 POI_110,POI_131,364 364,1 64
POI_106 POI_110 POI_131,POI_230,364 364 364,1 64 187
POI_106 POI_110 POI_131 POI_230,POI_105,364 364 364 364,1 64 187 9
POI_106 POI_110 POI_131 POI_230 POI_105,POI_8,364 364 364 364 364,1 64 187 9 112
POI_35 POI_202,POI_51,366 366,1 21
POI_35 POI_202 POI_51,POI_90,366 366 366,1 21 31
POI_35 POI_202 POI_51 POI_90,POI_99,366 366 366 366,1 21 31 50
POI_35 POI_202 POI_51 POI_90 POI_99,POI_231,366 366 366 366 366,1 21 31 50 38
POI_35 POI_202 POI_51 POI_90 POI_99 POI_231,POI_132,366 366 366 366 366 366,1 21 31 50 38 4
POI_35 POI_202 POI_51 POI_90 POI_99 POI_231 POI_132,POI_57,366 366 366 366 366 366 366,1 21 31 50 38 4 38
POI_35 POI_202 POI_51 POI_90 POI_99 POI_231 POI_132 POI_57,POI_131,366 366 366 366 366 366 366 366,1 21 31 50 38 4 38 44
POI_35 POI_202 POI_51 POI_90 POI_99 POI_231 POI_132 POI_57 POI_131,POI_230,366 366 366 366 366 366 366 366 366,1 21 31 50 38 4 38 44 1
POI_190 POI_201,POI_103,366 366,1 33
POI_190 POI_201 POI_103,POI_189,366 366 366,1 33 93
POI_190 POI_201 POI_103 POI_189,POI_66,366 366 366 366,1 33 93 119
POI_190 POI_201 POI_103 POI_189 POI_66,POI_97,366 366 366 366 366,1 33 93 119 7
POI_136 POI_99,POI_133,367 367,1 20
POI_136 POI_99 POI_133,POI_76,367 367 367,1 20 49
POI_105 POI_101,POI_104,370 370,1 12
POI_231 POI_99,POI_97,370 370,1 3
POI_68 POI_236,POI_12,373 373,1 0
POI_68 POI_236 POI_12,POI_65,373 373 373,1 0 0
POI_86 POI_85,POI_128,374 374,1 1
POI_86 POI_85 POI_128,POI_129,374 374 374,1 1 9
POI_86 POI_85 POI_128 POI_129,POI_126,374 374 374 374,1 1 9 1
POI_86 POI_85 POI_128 POI_129 POI_126,POI_61,374 374 374 374 374,1 1 9 1 1
POI_86 POI_85 POI_128 POI_129 POI_126 POI_61,POI_2,374 374 374 374 374 374,1 1 9 1 1 12
POI_189 POI_97,POI_230,375 375,1 17
POI_190 POI_14,POI_236,375 375,1 0
POI_188 POI_231,POI_189,377 377,1 9
POI_4 POI_190,POI_179,382 382,1 50
POI_4 POI_190 POI_179,POI_159,382 382 382,1 50 1
POI_190 POI_97,POI_35,386 386,1 51
POI_55 POI_130,POI_98,386 386,1 20
POI_189 POI_35,POI_190,387 387,1 28
POI_189 POI_35 POI_190,POI_230,387 387 387,1 28 26
POI_90 POI_230,POI_97,387 387,1 46
POI_66 POI_189,POI_89,390 390,1 9
POI_66 POI_189 POI_89,POI_161,390 390 390,1 9 54
POI_66 POI_189 POI_89 POI_161,POI_220,390 390 390 390,1 9 54 8
POI_66 POI_189 POI_89 POI_161 POI_220,POI_177,390 390 390 390 390,1 9 54 8 38
POI_66 POI_189 POI_89 POI_161 POI_220 POI_177,POI_150,390 390 390 390 390 390,1 9 54 8 38 34
POI_94 POI_150,POI_151,392 392,1 21
POI_62 POI_220,POI_119,398 398,1 7
POI_62 POI_220 POI_119,POI_110,398 398 398,1 7 122
POI_131 POI_55,POI_130,402 402,1 6
POI_131 POI_55 POI_130,POI_190,402 402 402,1 6 1
POI_131 POI_55 POI_130 POI_190,POI_188,402 402 402 402,1 6 1 5
POI_131 POI_55 POI_130 POI_190 POI_188,POI_189,402 402 402 402 402,1 6 1 5 4
POI_131 POI_55 POI_130 POI_190 POI_188 POI_189,POI_35,402 402 402 402 402 402,1 6 1 5 4 5
